Title,Genre,Runtime,Premiere,Status,Subject
One Piece,Action-adventure,"min:49,max:64,avg:56",2023,Renewed,Unknown
Avatar: The Last Airbender,Fantasy,"min:47,max:63,avg:55",2024,Renewed for seasons 2–3 (final),Unknown
Geek Girl,Teen drama,"min:28,max:37,avg:32",2024,Pending,Unknown
Blippi's Job Show,Educational,Unknown,2025,Pending,Unknown
Big Mouth,Coming-of-age comedy,"min:25,max:46,avg:35",2017,"Final season due to premiere on May 23, 2025",Unknown
"Love, Death & Robots",Anthology,"min:6,max:21,avg:13",2019,Renewed,Unknown
Mulligan,Science fiction comedy,"min:25,max:27,avg:26",2023,Pending,Unknown
Blue Eye Samurai,Action,"min:35,max:62,avg:48",2023,Renewed,Unknown
Good Times: Black Again,Sitcom,"min:24,max:27,avg:25",2024,Pending,Unknown
Exploding Kittens,Comedy,"min:24,max:27,avg:25",2024,Pending,Unknown
Twilight of the Gods,Fantasy,"min:27,max:42,avg:34",2024,Pending,Unknown
Tomb Raider: The Legend of Lara Croft,Action-adventure,"min:23,max:35,avg:29",2024,Renewed,Unknown
Devil May Cry,Dark fantasy action,Unknown,2025,Pending,Unknown
Blood of Zeus,Fantasy action,"min:24,max:37,avg:30",2020,Final season due to premiere in May 2025,Unknown
Record of Ragnarok,Action,"min:23,max:26,avg:24",2021,Renewed,Unknown
Castlevania: Nocturne,Dark fantasy,"min:24,max:33,avg:28",2023,Pending,Unknown
Pokémon Concierge,Stop-motion fantasy,"min:14,max:20,avg:17",2023,Season 2 due to premiere in September 2025,Unknown
The Grimm Variations,Dark fantasy anthology,"min:32,max:46,avg:39",2024,Pending,Unknown
T・P BON,Science fiction,"min:26,max:33,avg:29",2024,Pending,Unknown
Garouden: The Way of the Lone Wolf,Martial arts,"min:23,max:28,avg:25",2024,Pending,Unknown
Rising Impact,Sports,"min:22,max:28,avg:25",2024,Pending,Unknown
Terminator Zero,Science fiction,"min:25,max:29,avg:27",2024,Pending,Unknown
Gundam: Requiem for Vengeance,"Mecha,Military science fiction","min:23,max:24,avg:23",2024,Pending,Unknown
Tokyo Override,Science fiction,"min:24,max:28,avg:26",2024,Pending,Unknown
Moonrise,Science fiction,Unknown,2025,Pending,Unknown
Gabby's Dollhouse,Preschool adventure fantasy,"min:23,max:30,avg:26",2021,Renewed through episode 100 (final),Unknown
The Creature Cases,Preschool action comedy,"min:16,max:29,avg:22",2022,Pending,Unknown
Princess Power,Preschool Fantasy musical,"min:14,max:34,avg:24",2023,Pending,Unknown
Little Baby Bum: Music Time,Preschool musical,"min:23,max:42,avg:32",2023,Pending,Unknown
Unicorn Academy,Fantasy action-adventure,"min:24,max:75,avg:49",2023,"Season 3 due to premiere on April 9, 2025",Unknown
Cocomelon Lane,Preschool musical,"min:25,max:33,avg:29",2023,Pending,Unknown
Hot Wheels Let's Race,Preschool Adventure comedy,"min:23,max:24,avg:23",2024,Pending,Unknown
Jurassic World: Chaos Theory,Science fiction action-adventure,"min:23,max:24,avg:23",2024,"Season 3 due to premiere on April 3, 2025",Unknown
Wonderoos,Preschool comedy,"min:14,max:26,avg:20",2024,Pending,Unknown
Mighty MonsterWheelies,Preschool,"min:12,max:13,avg:12",2024,Pending,Unknown
Barbie Mysteries,Adventure comedy,"min:21,max:26,avg:23",2024,Pending,Unknown
Jentry Chau vs. The Underworld,Supernatural adventure,"min:26,max:32,avg:29",2024,Pending,Unknown
Dog Days Out,Preschool comedy,"min:15,max:16,avg:15",2025,Pending,Unknown
Wolf King,Epic fantasy adventure,"min:24,max:32,avg:28",2025,Pending,Unknown
Astérix and Obélix: The Big Fight,Historical action-adventure,Unknown,2025,Limited series,Unknown
Finding Ola,Comedy drama,"min:39,max:66,avg:52",2022,Pending,Unknown
The Exchange,Drama,"min:46,max:57,avg:51",2023,Pending,Unknown
Echoes of the Past,Crime drama,"min:34,max:42,avg:38",2024,Pending,Unknown
Lupin,Crime drama,"min:42,max:56,avg:49",2021,Renewed,Unknown
Represent,Comedy,"min:26,max:34,avg:30",2023,Pending,Unknown
Blood Coast,Crime drama,"min:48,max:56,avg:52",2023,Season 2 due to premiere in 2025,Unknown
Furies,Action,"min:39,max:50,avg:44",2024,Renewed,Unknown
The Cage,Sports drama,"min:42,max:65,avg:53",2024,Renewed,Unknown
How to Sell Drugs Online (Fast),Dark comedy,"min:24,max:36,avg:30",2019,"Final season due to premiere on April 8, 2025",Unknown
Kleo,Thriller,"min:41,max:56,avg:48",2022,Pending,Unknown
The Empress,Historical drama,"min:47,max:63,avg:55",2022,Renewed for final season,Unknown
Crooks,Crime drama,"min:39,max:66,avg:52",2024,Renewed,Unknown
Murder Mindfully,Dark comedy,"min:28,max:38,avg:33",2024,Pending,Unknown
Delhi Crime,Police procedural,"min:36,max:64,avg:50",2019,Season 3 due to premiere in 2025,Unknown
She,Crime drama,"min:31,max:51,avg:41",2020,Renewed,Unknown
Mismatched,Romantic comedy,"min:28,max:44,avg:36",2020,Pending,Unknown
Yeh Kaali Kaali Ankhein,Romantic thriller,"min:31,max:51,avg:41",2022,Renewed,Unknown
Class,Teen crime thriller,"min:47,max:58,avg:52",2023,Renewed,Unknown
Rana Naidu,Crime drama,"min:39,max:50,avg:44",2023,Season 2 due to premiere in 2025,Unknown
Guns & Gulaabs,Crime comedy thriller,"min:44,max:81,avg:62",2023,Renewed,Unknown
Kaala Paani,Thriller drama,"min:57,max:70,avg:63",2023,Renewed,Unknown
Maamla Legal Hai,Legal comedy drama,"min:27,max:38,avg:32",2024,Renewed,Unknown
Heeramandi: The Diamond Bazaar,Family drama,"min:46,max:67,avg:56",2024,Renewed,Unknown
Tribhuvan Mishra CA Topper,Dark comedy,"min:44,max:67,avg:55",2024,Pending,Unknown
Black Warrant,Crime drama,"min:38,max:50,avg:44",2025,Pending,Unknown
Dabba Cartel,Crime thriller,"min:42,max:63,avg:52",2025,Pending,Unknown
Khakee: The Bengal Chapter,Crime thriller,"min:37,max:62,avg:49",2025,Pending,Unknown
Everything Calls for Salvation,Drama,"min:42,max:51,avg:46",2022,Pending,Unknown
The Law According to Lidia Poët,Period legal drama,"min:44,max:57,avg:50",2023,Renewed,Unknown
Brigands: The Quest for Gold,Historical drama,"min:39,max:58,avg:48",2024,Pending,Unknown
Public Disorder,Crime drama,"min:42,max:61,avg:51",2025,Pending,Unknown
My Family,Drama,"min:41,max:51,avg:46",2025,Renewed,Unknown
Alice in Borderland,Fantasy thriller,"min:41,max:80,avg:60",2020,Season 3 due to premiere in September 2025,Unknown
Tokyo Swindlers,Crime thriller,"min:37,max:66,avg:51",2024,Pending,Unknown
Chastity High,Teen drama,"min:44,max:54,avg:49",2024,Pending,Unknown
The Queen of Villains,Sports drama,"min:60,max:82,avg:71",2024,Pending,Unknown
Beyond Goodbye,Romantic drama,"min:38,max:53,avg:45",2024,Pending,Unknown
Asura,Family drama,"min:55,max:66,avg:60",2025,Pending,Unknown
Squid Game,Survival thriller,"min:32,max:76,avg:54",2021,"Final season due to premiere on June 27, 2025",Unknown
Hellbound,Supernatural thriller,"min:41,max:60,avg:50",2021,Pending,Unknown
All of Us Are Dead,Zombie apocalypse,"min:53,max:71,avg:62",2022,Renewed,Unknown
Bloodhounds,Action drama,"min:54,max:74,avg:64",2023,Renewed,Unknown
Gyeongseong Creature,Historical thriller,"min:43,max:78,avg:60",2023,Pending,Unknown
The Trauma Code: Heroes on Call,Medical drama,"min:47,max:55,avg:51",2025,Pending,Unknown
Melo Movie,Romantic comedy,"min:57,max:74,avg:65",2025,Pending,Unknown
When Life Gives You Tangerines,Slice of life romantic drama,"min:49,max:64,avg:56",2025,Miniseries ongoing,Unknown
Karma,Crime thriller,Unknown,2025,Pending,Unknown
The Victims' Game,Thriller,"min:51,max:67,avg:59",2020,Pending,Unknown
GG Precinct,Crime comedy,"min:38,max:50,avg:44",2024,Pending,Unknown
Born for the Spotlight,Drama,"min:42,max:59,avg:50",2024,Pending,Unknown
I Am Married...But!,Romantic comedy,"min:29,max:49,avg:39",2025,Pending,Unknown
Forget You Not,Slice-of-life comedy drama,Unknown,2025,Pending,Unknown
The Green Glove Gang,Dark comedy,"min:28,max:38,avg:33",2022,Pending,Unknown
1670,Comedy,"min:29,max:37,avg:33",2023,Renewed,Unknown
"Go Ahead, Brother",Crime drama,"min:52,max:62,avg:57",2024,Pending,Unknown
The Mothers of Penguins,Drama,"min:43,max:58,avg:50",2024,Pending,Unknown
The Hooligan,Drama,"min:44,max:46,avg:45",2025,Pending,Unknown
Project UFO,Drama,Unknown,2025,Miniseries,Unknown
Alpha Males,Comedy,"min:30,max:40,avg:35",2022,Renewed,Unknown
The Snow Girl,Thriller,"min:42,max:51,avg:46",2023,Pending,Unknown
Eva Lasting,Romantic drama,"min:36,max:50,avg:43",2023,Renewed,Unknown
Community Squad,Comedy,"min:23,max:29,avg:26",2023,Season 2 due to premiere in 2025,Unknown
Fake Profile,Drama,"min:34,max:49,avg:41",2023,Pending,Unknown
Nothing to See Here,Comedy drama,"min:22,max:34,avg:28",2023,Pending,Unknown
The Manny,Comedy,"min:30,max:41,avg:35",2023,Pending,Unknown
Berlin,Heist crime drama,"min:42,max:60,avg:51",2023,Renewed,Unknown
Baby Bandito,Heist drama,"min:34,max:43,avg:38",2024,Renewed,Unknown
Bandidos,Heist drama,"min:39,max:52,avg:45",2024,Pending,Unknown
The Hijacking of Flight 601,Drama,"min:44,max:59,avg:51",2024,Pending,Unknown
Gangs of Galicia,Crime drama,"min:41,max:56,avg:48",2024,Renewed,Unknown
The Accident,Drama,"min:40,max:50,avg:45",2024,Pending,Unknown
Breathless,Medical drama,"min:40,max:51,avg:45",2024,Renewed,Unknown
Envious,Comedy,"min:21,max:40,avg:30",2024,Pending,Unknown
We Were Kings,Drama,"min:35,max:41,avg:38",2024,Pending,Unknown
The Secret of the River,Drama,"min:33,max:47,avg:40",2024,Pending,Unknown
Sisters' Feud,Drama,"min:33,max:43,avg:38",2024,Pending,Unknown
One Hundred Years of Solitude,Magical realist drama,"min:59,max:68,avg:63",2024,Renewed,Unknown
1992,Thriller,"min:38,max:49,avg:43",2024,Pending,Unknown
Prison Cell 211,Crime drama,"min:33,max:41,avg:37",2025,Pending,Unknown
Medusa,Drama,"min:31,max:46,avg:38",2025,Renewed,Unknown
Welcome to the Family,Drama,"min:24,max:36,avg:30",2025,Pending,Unknown
Caught,Thriller,Unknown,2025,Miniseries,Unknown
The Lady's Companion,Period drama,Unknown,2025,Pending,Unknown
The Gardener,Thriller,Unknown,2025,Pending,Unknown
The Eternaut,Science fiction,Unknown,2025,Pending,Unknown
Barracuda Queens,Heist crime drama,"min:31,max:34,avg:32",2023,Season 2 due to premiere in 2025,Unknown
The Åre Murders,Crime drama,"min:35,max:57,avg:46",2025,Pending,Unknown
The Glass Dome,Crime drama,Unknown,2025,Pending,Unknown
The Believers,Crime drama,"min:37,max:59,avg:48",2024,Final season due to premiere in 2025,Unknown
Doctor Climax,Comedy drama,"min:48,max:65,avg:56",2024,Pending,Unknown
Terror Tuesday: Extreme,Horror anthology,"min:38,max:46,avg:42",2024,Pending,Unknown
Tomorrow and I,Science fiction anthology,"min:66,max:81,avg:73",2024,Pending,Unknown
Dalah: Death and the Flowers,Crime drama,"min:44,max:61,avg:52",2025,Pending,Unknown
Midnight at the Pera Palace,Drama,"min:36,max:52,avg:44",2022,Pending,Unknown
The Life and Movies of Erşan Kuneri,Sitcom,"min:38,max:56,avg:47",2022,Pending,Unknown
Graveyard,Drama,"min:48,max:116,avg:82",2022,Pending,Unknown
Another Self,Drama,"min:45,max:67,avg:56",2022,Pending,Unknown
Shahmaran,Fantasy,"min:43,max:59,avg:51",2023,Pending,Unknown
Kübra,Thriller,"min:37,max:49,avg:43",2024,Pending,Unknown
"Thank You, Next",Romantic comedy,"min:37,max:51,avg:44",2024,Season 2 due to premiere in 2025,Unknown
Lovers Anonymous,Comedy drama,"min:48,max:57,avg:52",2025,Pending,Unknown
Bet Your Life,Supernatural drama,"min:33,max:45,avg:39",2025,Pending,Unknown
Home for Christmas,Comedy drama,"min:25,max:34,avg:29",2019,Renewed,Unknown
Baby Fever,Romantic comedy drama,"min:27,max:35,avg:31",2022,Pending,Unknown
Turn of the Tide,Thriller,"min:41,max:51,avg:46",2023,Renewed for seasons 2–3,Unknown
Kohrra,Crime drama,"min:44,max:50,avg:47",2023,Season 2 due to premiere in 2025,Unknown
Criminal Code,Crime drama,"min:49,max:63,avg:56",2023,Season 2 due to premiere in 2025,Unknown
Bros,Comedy drama,"min:29,max:43,avg:36",2024,Pending,Unknown
How to Ruin Love,Comedy,"min:43,max:50,avg:46",2024,Pending,Unknown
Joko Anwar's Nightmares and Daydreams,Science fiction anthology,"min:46,max:62,avg:54",2024,Pending,Unknown
Billionaire Island,Drama,"min:44,max:47,avg:45",2024,Pending,Unknown
Blood Legacy,Drama,"min:20,max:30,avg:25",2024,Pending,Unknown
Subteran,Crime drama,"min:40,max:53,avg:46",2025,Pending,Unknown
Roosters,Comedy,"min:30,max:34,avg:32",2025,Renewed,Unknown
Tuiskoms,Romance,"min:45,max:48,avg:46",2025,Pending,Unknown
Go!,Thriller,"min:24,max:31,avg:27",2025,Pending,Unknown
The Reserve,Crime drama,Unknown,2025,Miniseries,Unknown
Chef's Table,"Food,Culinary art","min:42,max:58,avg:50",2015,Pending,Food/Culinary art
The Toys That Made Us,Toy industry,"min:43,max:51,avg:47",2017,Renewed for seasons 4–5,Toy industry
Somebody Feed Phil,Travel,"min:32,max:63,avg:47",2018,Renewed,Travel
Formula 1: Drive to Survive,Sports,"min:27,max:51,avg:39",2019,Pending,Sports
Worst Roommate Ever,True crime,"min:39,max:62,avg:50",2022,Pending,True crime
Ancient Apocalypse,History,"min:28,max:42,avg:35",2022,Pending,History
Full Swing,Sports,"min:39,max:53,avg:46",2023,Pending,Sports
Missing: Dead or Alive?,True crime,"min:31,max:67,avg:49",2023,Renewed,True crime
Quarterback,Sports,"min:43,max:56,avg:49",2023,Season 2 due to premiere in July 2025,Sports
Life on Our Planet,Nature,"min:41,max:55,avg:48",2023,Renewed,Nature
Full Speed,Sports,"min:44,max:50,avg:47",2024,Renewed,Sports
Homicide,True crime,"min:49,max:59,avg:54",2024,Pending,True crime
Crime Scene Berlin: Nightlife Killer,True crime,"min:34,max:37,avg:35",2024,Pending,True crime
Files of the Unexplained,Paranormal,"min:30,max:48,avg:39",2024,Pending,Paranormal
"Ashley Madison: Sex, Lies & Scandal",True crime,"min:49,max:53,avg:51",2024,Pending,True crime
Toughest Forces on Earth,Military,"min:39,max:42,avg:40",2024,Pending,Military
Dancing for the Devil: The 7M TikTok Cult,True crime,"min:49,max:58,avg:53",2024,Pending,True crime
Hitler and the Nazis: Evil on Trial,History,"min:59,max:66,avg:62",2024,Pending,History
America's Sweethearts: Dallas Cowboys Cheerleaders,Sports,"min:52,max:60,avg:56",2024,Season 2 due to premiere in 2025,Sports
Kaulitz & Kaulitz,Music,"min:38,max:50,avg:44",2024,Renewed,Music
Sprint,Sports,"min:33,max:57,avg:45",2024,Pending,Sports
Receiver,Sports,"min:52,max:62,avg:57",2024,Pending,Sports
LALIGA: All Access,Sports,"min:43,max:52,avg:47",2024,Pending,Sports
Simone Biles Rising,Sports,"min:45,max:55,avg:50",2024,Pending,Sports
American Murder: Laci Peterson,True crime,"min:51,max:54,avg:52",2024,Pending,True crime
Pop Star Academy: KATSEYE,Music,"min:50,max:55,avg:52",2024,Pending,Music
Wyatt Earp and the Cowboy War,"Docudrama,History","min:30,max:49,avg:39",2024,Pending,Docudrama/History
Worst Ex Ever,True crime,"min:51,max:63,avg:57",2024,Pending,True crime
Jack Whitehall: Fatherhood with My Father,Travel,"min:40,max:43,avg:41",2024,Pending,Travel
What's Next? The Future with Bill Gates,"Science,Technology","min:42,max:52,avg:47",2024,Pending,Science/Technology
Chef's Table: Noodles,"Food,Culinary art","min:46,max:50,avg:48",2024,Pending,Food/Culinary art
Starting 5,Sports,"min:39,max:62,avg:50",2024,Season 2 due to premiere in 2025,Sports
The Comeback: The 2004 Red Sox,Sports,"min:57,max:67,avg:62",2024,Pending,Sports
This Is the Zodiac Speaking,True crime,"min:42,max:49,avg:45",2024,Pending,True crime
Investigation Alien,Extraterrestrials,"min:33,max:40,avg:36",2024,Pending,Extraterrestrials
Our Oceans,Nature,"min:58,max:63,avg:60",2024,Pending,Nature
Saudi Pro League: Kick Off,Sports,"min:39,max:50,avg:44",2024,Pending,Sports
Cold Case: Who Killed JonBenét Ramsey,True crime,"min:58,max:62,avg:60",2024,Pending,True crime
Churchill at War,History,"min:56,max:61,avg:58",2024,Pending,History
Polo,Sports,"min:43,max:52,avg:47",2024,Pending,Sports
The Kings of Tupelo: A Southern Crime Saga,True crime,"min:54,max:75,avg:64",2024,Pending,True crime
Aaron Rodgers: Enigma,Sports,"min:64,max:69,avg:66",2024,Pending,Sports
The Roshans,Filmmaking,"min:39,max:54,avg:46",2025,Pending,Filmmaking
American Manhunt: O. J. Simpson,True crime,"min:66,max:92,avg:79",2025,Pending,True crime
The Greatest Rivalry: India vs Pakistan,Sports,"min:34,max:40,avg:37",2025,Pending,Sports
American Murder: Gabby Petito,True crime,"min:39,max:48,avg:43",2025,Pending,True crime
Court of Gold,Sports,"min:37,max:46,avg:41",2025,Pending,Sports
Aitana: Metamorphosis,Music,"min:35,max:46,avg:40",2025,Pending,Music
From Rock Star to Killer,True crime,Unknown,2025,Miniseries,True crime
Gold & Greed: The Hunt for Fenn's Treasure,Treasure hunting,Unknown,2025,Miniseries,Treasure hunting
Gone Girls: The Long Island Serial Killer,True crime,Unknown,2025,Miniseries,True crime
Garnachas: Glorious Street Food!,Food,Unknown,2025,Pending,Food
The Clubhouse: A Year with the Red Sox,Sports,Unknown,2025,Pending,Sports
Bad Influence: The Dark Side of Kidfluencing,"Social media,True crime","min:50,max:50,avg:50",2025,Miniseries,Social media/True crime
The Diamond Heist,True crime,Unknown,2025,Miniseries,True crime
Carlos Alcaraz: My Way,Sports,Unknown,2025,Miniseries,Sports
Turning Point: Vietnam,History,Unknown,2025,Miniseries,History
Queer Eye,Makeover reality,"min:43,max:56,avg:49",2018,Pending,Unknown
Car Masters: Rust to Riches,Reality,"min:31,max:43,avg:37",2018,Pending,Unknown
Selling Sunset,Reality,"min:25,max:80,avg:52",2019,Pending,Unknown
Rhythm + Flow,Music competition,"min:38,max:69,avg:53",2019,Pending,Unknown
The Circle,Reality competition,"min:41,max:63,avg:52",2020,Pending,Unknown
Love Is Blind,Dating show,"min:31,max:104,avg:67",2020,Renewed for seasons 9–10,Unknown
Too Hot to Handle,Dating show,"min:32,max:60,avg:46",2020,Pending,Unknown
Barbecue Showdown,Cooking competition,"min:38,max:48,avg:43",2020,Pending,Unknown
Fabulous Lives of Bollywood Wives,Reality,"min:30,max:50,avg:40",2020,Pending,Unknown
Love Is Blind: Brazil,Dating show,"min:42,max:89,avg:65",2021,Renewed,Unknown
I Am Georgina,Reality,"min:38,max:46,avg:42",2022,Pending,Unknown
"Young, Famous & African",Reality,"min:32,max:55,avg:43",2022,Pending,Unknown
The Ultimatum: Marry or Move On,Dating show,"min:35,max:63,avg:49",2022,Pending,Unknown
Love on the Spectrum,Dating show,"min:37,max:45,avg:41",2022,"Season 3 due to premiere on April 2, 2025",Unknown
Rhythm + Flow France,Music competition,"min:32,max:52,avg:42",2022,Renewed for season 4 and a reunion special,Unknown
Selling the OC,Reality,"min:28,max:39,avg:33",2022,Renewed,Unknown
Dubai Bling,Reality,"min:41,max:66,avg:53",2022,Pending,Unknown
Physical: 100,Reality competition,"min:51,max:95,avg:73",2023,Season 3 due to premiere in late 2025,Unknown
Love Never Lies: Poland,Reality competition,"min:42,max:75,avg:58",2023,Pending,Unknown
Perfect Match,Dating show,"min:38,max:106,avg:72",2023,Renewed,Unknown
Too Hot to Handle: Germany,Dating show,"min:39,max:60,avg:49",2023,Pending,Unknown
Outlast,Reality competition,"min:28,max:61,avg:44",2023,Renewed,Unknown
King of Collectibles: The Goldin Touch,Reality,"min:27,max:41,avg:34",2023,Pending,Unknown
Love Village,Dating show,"min:25,max:41,avg:33",2023,Pending,Unknown
The Ultimatum: Queer Love,Dating show,"min:35,max:65,avg:50",2023,Renewed,Unknown
Tex Mex Motors,Reality,"min:27,max:46,avg:36",2023,Pending,Unknown
Sugar Rush: The Baking Point,Baking competition,"min:49,max:56,avg:52",2023,Pending,Unknown
Zombieverse,Reality competition,"min:40,max:66,avg:53",2023,Pending,Unknown
The Devil's Plan,Reality game show,"min:58,max:75,avg:66",2023,Season 2 due to premiere in early 2025,Unknown
Stranded with My Mother-in-Law,Reality,"min:42,max:57,avg:49",2023,Pending,Unknown
Love Is Blind: Sweden,Dating show,"min:43,max:71,avg:57",2024,Season 2 ongoing,Unknown
Rhythm + Flow Italy,Music competition,"min:42,max:49,avg:45",2024,"Season 2 due to premiere on March 31, 2025",Unknown
The Magic Prank Show with Justin Willman,Prank show,"min:25,max:31,avg:28",2024,Pending,Unknown
Unlocked: A Jail Experiment,Reality,"min:33,max:48,avg:40",2024,Pending,Unknown
Don't Hate the Player,Reality competition,"min:36,max:57,avg:46",2024,Pending,Unknown
Fight for Paradise: Who Can You Trust?,Reality competition,"min:38,max:49,avg:43",2024,Pending,Unknown
Super Rich in Korea,Reality,"min:28,max:30,avg:29",2024,Pending,Unknown
The Ultimatum: South Africa,Dating show,"min:38,max:52,avg:45",2024,Pending,Unknown
Agents of Mystery,Reality competition,"min:40,max:51,avg:45",2024,Pending,Unknown
Owning Manhattan,Reality,"min:38,max:49,avg:43",2024,Renewed,Unknown
The Boyfriend,Dating show,"min:37,max:53,avg:45",2024,Renewed,Unknown
Resurrected Rides,Reality,"min:36,max:41,avg:38",2024,Pending,Unknown
Love Is Blind: Mexico,Dating show,"min:46,max:75,avg:60",2024,Pending,Unknown
The Influencer,Reality competition,"min:54,max:81,avg:67",2024,Pending,Unknown
Love Is Blind: UK,Dating show,"min:41,max:72,avg:56",2024,Renewed,Unknown
Blue Ribbon Baking Championship,Baking competition,"min:44,max:50,avg:47",2024,Pending,Unknown
A-List to Playlist,Reality,"min:31,max:81,avg:56",2024,Pending,Unknown
Culinary Class Wars,Cooking competition,"min:60,max:76,avg:68",2024,Season 2 due to premiere in late 2025,Unknown
Making It in Marbella,Reality,"min:23,max:30,avg:26",2024,Pending,Unknown
"Love Is Blind, Habibi",Dating show,"min:46,max:63,avg:54",2024,Pending,Unknown
Comedy Revenge,Stand-up comedy competition,"min:37,max:49,avg:43",2024,Pending,Unknown
Love Is Blind: Argentina,Dating show,"min:46,max:69,avg:57",2024,Renewed,Unknown
Rhythm + Flow: Brazil,Music competition,"min:50,max:53,avg:51",2024,Pending,Unknown
The Later Daters,Dating show,"min:35,max:47,avg:41",2024,Pending,Unknown
Love Never Lies: South Africa,Reality competition,"min:44,max:81,avg:62",2024,Pending,Unknown
Rugged Rugby: Conquer or Die,Sports reality competition,"min:63,max:85,avg:74",2024,Pending,Unknown
Love Is Blind: Germany,Dating show,"min:42,max:63,avg:52",2025,Renewed,Unknown
Selling the City,Reality,"min:29,max:44,avg:36",2025,Pending,Unknown
I Am Ilary,Docusoap,"min:30,max:38,avg:34",2025,Pending,Unknown
W.A.G.s to Riches,Reality,"min:22,max:44,avg:33",2025,Pending,Unknown
Celebrity Bear Hunt,Reality competition,"min:44,max:56,avg:50",2025,Pending,Unknown
Offline Love,Dating show,"min:47,max:68,avg:57",2025,Pending,Unknown
"With Love, Meghan",Reality,"min:28,max:41,avg:34",2025,Season 2 due to premiere in late 2025,Unknown
Million Dollar Secret,Reality competition,Unknown,2025,Pending,Unknown
Kian's Bizarre B&B,Reality,Unknown,2025,Pending,Unknown
Too Hot to Handle: Italy,Dating show,Unknown,2025,Pending,Unknown
